customer_id,age,recency_days,transaction_frequency,monetary_value_kes,preferred_channel,active_microloans
CUST-00001,40,0,3,2542.72,USSD / Mobile Money,2
CUST-00002,33,9,4,10172.92,Mobile App,1
CUST-00003,42,38,4,13569.39,USSD / Mobile Money,0
CUST-00004,53,7,36,19796.93,Mobile App,1
CUST-00005,32,14,10,153803.43,USSD / Mobile Money,2
CUST-00006,32,22,7,12413.03,Mobile App,4
CUST-00007,53,22,4,4380.08,USSD / Mobile Money,1
CUST-00008,44,10,40,20703.23,USSD / Mobile Money,2
CUST-00009,29,29,52,34865.43,Mobile App,3
CUST-00010,41,7,39,24982.23,Mobile App,3
CUST-00011,29,32,19,35727.44,USSD / Mobile Money,1
CUST-00012,29,4,16,14535.11,Branch,1
CUST-00013,37,4,3,2852.11,Mobile App,1
CUST-00014,18,0,9,103817.54,USSD / Mobile Money,2
CUST-00015,18,23,6,18575.23,USSD / Mobile Money,3
CUST-00016,28,8,1,6034.95,USSD / Mobile Money,2
CUST-00017,22,3,35,27872.96,ATM,1
CUST-00018,38,3,6,19499.13,USSD / Mobile Money,2
CUST-00019,24,34,40,20950.24,USSD / Mobile Money,1
CUST-00020,18,26,29,24765.47,USSD / Mobile Money,1
CUST-00021,52,12,21,14624.97,Mobile App,3
CUST-00022,32,14,22,28343.1,USSD / Mobile Money,1
CUST-00023,35,9,6,5669.72,Branch,0
CUST-00024,18,7,78,42271.31,USSD / Mobile Money,0
CUST-00025,28,37,12,104155.34,Mobile App,2
CUST-00026,36,2,16,59347.33,Mobile App,2
CUST-00027,21,8,6,3057.78,USSD / Mobile Money,2
CUST-00028,39,6,4,47942.37,USSD / Mobile Money,3
CUST-00029,27,10,19,16755.55,Mobile App,2
CUST-00030,31,9,15,10300.99,Mobile App,1
CUST-00031,27,10,5,4288.69,USSD / Mobile Money,0
CUST-00032,57,2,2,2951.44,USSD / Mobile Money,1
CUST-00033,34,10,3,4422.21,USSD / Mobile Money,3
CUST-00034,22,4,40,21494.13,Branch,1
CUST-00035,44,3,6,4062.2,Mobile App,0
CUST-00036,20,1,8,5701.78,Branch,4
CUST-00037,37,21,51,38662.02,USSD / Mobile Money,2
CUST-00038,18,8,3,10235.37,ATM,2
CUST-00039,19,14,5,21153.42,Mobile App,1
CUST-00040,37,19,5,9835.24,Mobile App,0
CUST-00041,43,17,61,31641.37,USSD / Mobile Money,1
CUST-00042,37,9,89,61511.78,Branch,3
CUST-00043,33,7,25,14295.37,USSD / Mobile Money,0
CUST-00044,31,7,26,34373.81,USSD / Mobile Money,0
CUST-00045,18,15,6,4409.68,Mobile App,1
CUST-00046,26,10,85,45389.34,USSD / Mobile Money,1
CUST-00047,29,28,15,12212.21,USSD / Mobile Money,0
CUST-00048,47,31,28,36283.62,USSD / Mobile Money,0
CUST-00049,39,2,10,15551.21,USSD / Mobile Money,1
CUST-00050,18,2,9,12849.88,Mobile App,1
CUST-00051,38,14,64,169105.12,USSD / Mobile Money,3
